sample.point,mortality.class,acfl,amcr,amgo,amro,baww,bcch,bhco,blbw,blja,brcr,btnw,cawa,cedw,cogr,dowo,eaki,eaph,eato,eawp,etti,gcfl,gcki,grca,hawo,heth,howa,modo,noca,oven,piwa,piwo,rbgr,rbnu,revi,rphe,rsha,rtha,rthu,scju,scta,sovi,veer,wbnu,wewa,witu,wiwr,woth,ysfl,ytvi
P37,Hi-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0.5
P69,Hi-A,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0
P70,Hi-A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
P184,Hi-B,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P187,Hi-B,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
P188,Hi-B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,1,1,0,0,2,0,0,2,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0
P189,Hi-B,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P195,Hi-B,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0
P196,Hi-B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
P197,Hi-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
P703,Low,0.5,0,0,0,0.5,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0
P704,Low,0,0,0,0,0,1.5,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0
P705,Low,0,1,0,0,0,2.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P706,Low,0,0.5,0,0,0,1,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
P707,Hi-B,1,0,0,1.5,0,0.5,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0.5,0,1.5,1.5,0.5,0,0,0,0,0.5,0,0
P708,Low,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P710,Hi-B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,1.5,0.5,0,1,0,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0
P711,Low,0,0,0,0.5,0,2.5,0,0,0.5,0.5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P712, Low,0,0,0,0,0,1.5,0,0,0.5,1,1.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
P713,Med,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0
P714,Med,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P715,Med,0,0,0,0,0,0,0,0,0,0,1.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P716,Med,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,1,1,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P717,Med,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P718,Med,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0
P719,Hi-A,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
P720,Med,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
P721,Hi-A,0,0,1.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
P723,Med,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
P724,Hi-A,0,0,1.5,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P725,Hi-B,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,2,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
P727,Hi-A,0,1,0.5,0,0.5,1,1,0,0,0,0,0,0,1,0.5,0,0,0,0,3.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0
P728,Hi-A,0,0,0.5,0,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
P730,Hi-B,0,0,1.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
P734,Hi-A,0,0,1,0,0,2.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5,1,0,0,0,0,0,1.5,0,0,0,0,0,1,0,0,1.5,0,0,0,0.5,0,0.5
P735,Hi-A,0,0,0,0,0,1.5,0,0,2,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.5,1.5,0
P736,Low,0.5,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0
P737,Low,0,0,0,0,0,1.5,0,0,0.5,0,1.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
P739,Low,0,0,0,0,0,1,0,0,1.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0
P740,Low,0,0,0,0,0,1,0,0.5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
