sample.point,mortality.class,acfl_Ins,amcr_omn,amgo_omn,amro_verm,baww_ins,bcch_ins,bhco_omn,blbw_ins,blja_omn,brcr_ins,btnw_ins,cawa_ins,cedw_ins,cogr_omn,dowo_ins,eaki_ins,eaph_ins,eato_omn,eawp_ins,etti_omn,gcfl_ins,gcki_ins,grca_omn,hawo_ins,heth_ins,howa_ins,modo_gra,noca_omn,oven_ins,piwa_ins,piwo_ins,rbgr_omn,rbnu_ins,revi_ins,rphe_omn,rsha_car,rtha_car,rthu_omn,scju_omn,scta_ins,sovi_ins,veer_omn,wbnu_ins,wewa_ins,witu_omn,wiwr_ins,woth_omn,ysfl_ins,ytvi_ins
P37,Hi-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0.5
P69,Hi-A,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0
P70,Hi-A,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
P184,Hi-B,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P187,Hi-B,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
P188,Hi-B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,1,1,0,0,2,0,0,2,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0
P189,Hi-B,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P195,Hi-B,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0
P196,Hi-B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
P197,Hi-B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
P703,Low,0.5,0,0,0,0.5,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0
P704,Low,0,0,0,0,0,1.5,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0
P705,Low,0,1,0,0,0,2.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P706,Low,0,0.5,0,0,0,1,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
P707,Hi-B,1,0,0,1.5,0,0.5,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0.5,0,1.5,1.5,0.5,0,0,0,0,0.5,0,0
P708,Low,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
P710,Hi-B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,1.5,0.5,0,1,0,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0
P711,Low,0,0,0,0.5,0,2.5,0,0,0.5,0.5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P712,Low,0,0,0,0,0,1.5,0,0,0.5,1,1.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
P713,Med,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0
P714,Med,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P715,Med,0,0,0,0,0,0,0,0,0,0,1.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P716,Med,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,1,1,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P717,Med,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P718,Med,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0
P719,Hi-A,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
P720,Med,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
P721,Hi-A,0,0,1.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
P723,Med,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0.5,0,0,0,0,1.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
P724,Hi-A,0,0,1.5,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P725,Hi-B,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,2,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
P727,Hi-A,0,1,0.5,0,0.5,1,1,0,0,0,0,0,0,1,0.5,0,0,0,0,3.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0
P728,Hi-A,0,0,0.5,0,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
P730,Hi-B,0,0,1.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
P734,Hi-A,0,0,1,0,0,2.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5,1,0,0,0,0,0,1.5,0,0,0,0,0,1,0,0,1.5,0,0,0,0.5,0,0.5
P735,Hi-A,0,0,0,0,0,1.5,0,0,2,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.5,1.5,0
P736,Low,0.5,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0
P737,Low,0,0,0,0,0,1.5,0,0,0.5,0,1.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
P739,Low,0,0,0,0,0,1,0,0,1.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0
P740,Low,0,0,0,0,0,1,0,0.5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
